Name:     Description:
gimeabrk  "Gimme A Break"
minigolf  "Mini Golf (set 1)"
minigol2  "Mini Golf (set 2)"
toggle    "Toggle"
nametune  "Name That Tune"
nstocker  "Night Stocker"
sfootbal  "Street Football"
spiker    "Spiker"
stompin   "Stompin'"
rescraid  "Rescue Raider"
rescrdsa  "Rescue Raider (Stand-Alone)"
skychut   "Sky Chuter"
spacbeam  "Space Beam"
redalert  "Red Alert"
olibochu  "Oli-Boo-Chu"
mpatrol   "Moon Patrol"
mpatrolw  "Moon Patrol (Williams)"
troangel  "Tropical Angel"
yard      "10 Yard Fight"
vsyard    "10 Yard Fight (Vs. version 11/05/84)"
vsyard2   "10 Yard Fight (Vs. version, set 2)"
travrusa  "Traverse USA / Zippy Race"
motorace  "MotoRace USA"
kungfum   "Kung-Fu Master"
kungfud   "Kung-Fu Master (Data East)"
spartanx  "Spartan X (Japan)"
kungfub   "Kung-Fu Master (bootleg set 1)"
kungfub2  "Kung-Fu Master (bootleg set 2)"
battroad  "Battle-Road, The"
ldrun     "Lode Runner (set 1)"
ldruna    "Lode Runner (set 2)"
ldrun2    "Lode Runner II - The Bungeling Strikes Back"
ldrun3    "Lode Runner III - Majin No Fukkatsu"
ldrun4    "Lode Runner IV - Teikoku Karano Dasshutsu"
lotlot    "Lot Lot"
kidniki   "Kid Niki - Radical Ninja (US)"
yanchamr  "Kaiketsu Yanchamaru (Japan)"
spelunkr  "Spelunker"
spelnkrj  "Spelunker (Japan)"
spelunk2  "Spelunker II"
vigilant  "Vigilante (World)"
vigilntu  "Vigilante (US)"
vigilntj  "Vigilante (Japan)"
kikcubic  "Meikyu Jima (Japan)"
rtype     "R-Type (Japan)"
rtypepj   "R-Type (Japan prototype)"
rtypeu    "R-Type (US)"
bchopper  "Battle Chopper"
mrheli    "Mr. HELI no Dai-Bouken"
nspirit   "Ninja Spirit"
nspiritj  "Saigo no Nindou (Japan)"
imgfight  "Image Fight (Japan)"
loht      "Legend of Hero Tonma"
xmultipl  "X Multiply (Japan)"
dbreed    "Dragon Breed"
rtype2    "R-Type II"
rtype2j   "R-Type II (Japan)"
majtitle  "Major Title (Japan)"
hharry    "Hammerin' Harry (World)"
hharryu   "Hammerin' Harry (US)"
dkgensan  "Daiku no Gensan (Japan)"
dkgenm72  "Daiku no Gensan (Japan, M72)"
poundfor  "Pound for Pound (World)"
poundfou  "Pound for Pound (US)"
airduel   "Air Duel (Japan)"
gallop    "Gallop - Armed police Unit (Japan)"
sichuan2  "Sichuan II (hack?) (set 1)"
sichuana  "Sichuan II (hack ?) (set 2)"
shisen    "Shisensho - Joshiryo-Hen (Japan)"
bombrman  "Bomberman (Japan)"
bmaster   "Blade Master (World)"
gunforce  "Gunforce - Battle Fire Engulfed Terror Island (World)"
gunforcu  "Gunforce - Battle Fire Engulfed Terror Island (US)"
gunforcj  "Gunforce - Battle Fire Engulfed Terror Island (Japan)"
hook      "Hook (World)"
hooku     "Hook (US)"
mysticri  "Mystic Riders (World)"
gunhohki  "Gun Hohki (Japan)"
uccops    "Undercover Cops (World)"
uccopsj   "Undercover Cops (Japan)"
rtypeleo  "R-Type Leo (Japan)"
majtitl2  "Major Title 2 (World)"
skingame  "Irem Skins Game, The (US set 1)"
skingam2  "Irem Skins Game, The (US set 2)"
inthunt   "In The Hunt (World)"
inthuntu  "In The Hunt (US)"
kaiteids  "Kaitei Daisensou (Japan)"
lethalth  "Lethal Thunder (World)"
thndblst  "Thunder Blaster (Japan)"
psoldier  "Perfect Soldiers (Japan)"
bbmanw    "Bomber Man World (World)"
bbmanwj   "Bomber Man World (Japan)"
atompunk  "New Atomic Punk - Global Quest (US)"
dsoccr94  "Dream Soccer '94"
reactor   "Reactor"
mplanets  "Mad Planets"
qbert     "Q*bert (US)"
qbertjp   "Q*bert (Japan)"
insector  "Insector (prototype)"
krull     "Krull"
sqbert    "Faster, Harder, More Challenging Q*bert (prototype)"
mach3     "M.A.C.H. 3"
usvsthem  "Us vs. Them"
3stooges  "Three Stooges"
qbertqub  "Q*bert's Qubes"
screwloo  "Screw Loose (prototype)"
curvebal  "Curve Ball"
qix       "Qix (set 1)"
qixa      "Qix (set 2)"
qixb      "Qix (set 3)"
qix2      "Qix II (Tournament)"
sdungeon  "Space Dungeon"
elecyoyo  "Electric Yo-Yo, The (set 1)"
elecyoy2  "Electric Yo-Yo, The (set 2)"
kram      "Kram (set 1)"
kram2     "Kram (set 2)"
zookeep   "Zoo Keeper (set 1)"
zookeep2  "Zoo Keeper (set 2)"
zookeep3  "Zoo Keeper (set 3)"
spaceskr  "Space Seeker"
junglek   "Jungle King (Japan)"
junglkj2  "Jungle King (Japan, earlier)"
jungleh   "Jungle Hunt (US)"
alpine    "Alpine Ski (set 1)"
alpinea   "Alpine Ski (set 2)"
timetunl  "Time Tunnel"
wwestern  "Wild Western (set 1)"
wwester1  "Wild Western (set 2)"
frontlin  "Front Line"
elevator  "Elevator Action"
elevatob  "Elevator Action (bootleg)"
tinstar   "Tin Star, The"
waterski  "Water Ski"
bioatack  "Bio Attack"
hwrace    "High Way Race"
sfposeid  "Sea Fighter Poseidon"
kikstart  "Kick Start Wheelie King"
crbaloon  "Crazy Balloon (set 1)"
crbalon2  "Crazy Balloon (set 2)"
grchamp   "Grand Champion"
bking2    "Birdie King 2"
gsword    "Great Swordsman"
lkage     "Legend of Kage, The"
lkageb    "Legend of Kage, The (bootleg set 1)"
lkageb2   "Legend of Kage, The (bootleg set 2)"
lkageb3   "Legend of Kage, The (bootleg set 3)"
retofinv  "Return of the Invaders"
retofin1  "Return of the Invaders (bootleg set 1)"
retofin2  "Return of the Invaders (bootleg set 2)"
fightrol  "Fighting Roller"
rollrace  "Roller Aces"
vsgongf   "VS Gong Fight"
tsamurai  "Samurai Nihon-ichi (set 1)"
tsamura2  "Samurai Nihon-ichi (set 2)"
nunchaku  "Nunchackun"
yamagchi  "Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun"
m660      "Mission 660"
m660b     "Mission 660 (bootleg)"
alphaxz   "Alphax Z"
buggychl  "Buggy Challenge"
buggycht  "Buggy Challenge (Tecfri)"
flstory   "FairyLand Story, The"
flstoryj  "FairyLand Story, The (Japan)"
gladiatr  "Gladiator (US)"
ogonsiro  "Ohgon no Siro (Japan)"
lsasquad  "Land Sea Air Squad / Riku Kai Kuu Saizensen"
storming  "Storming Party / Riku Kai Kuu Saizensen"
tokio     "Tokio / Scramble Formation"
tokiob    "Tokio / Scramble Formation (bootleg)"
bublbobl  "Bubble Bobble"
bublbobr  "Bubble Bobble (US with mode select)"
bubbobr1  "Bubble Bobble (US)"
boblbobl  "Bobble Bobble"
sboblbob  "Super Bobble Bobble"
kikikai   "KiKi KaiKai"
kicknrun  "Kick and Run"
mexico86  "Mexico 86"
darius    "Darius (World)"
dariusj   "Darius (Japan)"
dariuso   "Darius (Japan old version)"
dariuse   "Darius (Extra) (Japan)"
rastan    "Rastan (World)"
rastanu   "Rastan (US set 1)"
rastanu2  "Rastan (US set 2)"
rastsaga  "Rastan Saga (Japan)"
topspeed  "Top Speed (World)"
topspedu  "Top Speed (US)"
fullthrl  "Full Throttle (Japan)"
opwolf    "Operation Wolf (US)"
opwolfb   "Operation Bear"
othunder  "Operation Thunderbolt (World)"
othundu   "Operation Thunderbolt (US)"
rainbow   "Rainbow Islands (set 1)"
rainbowa  "Rainbow Islands (set 2)"
rainbowe  "Rainbow Islands (Extra)"
jumping   "Jumping"
arkanoid  "Arkanoid (World)"
arknoidu  "Arkanoid (US)"
arknoidj  "Arkanoid (Japan)"
arkbl2    "Arkanoid (Japanese bootleg Set 2)"
arkatayt  "Arkanoid (Tayto bootleg, Japanese)"
arkbloc2  "Block (Game Corporation bootleg)"
arkangc   "Arkanoid (Game Corporation bootleg)"
arkatour  "Tournament Arkanoid (US)"
superqix  "Super Qix"
sqixbl    "Super Qix (bootleg)"
minivadr  "Minivader"
asuka     "Asuka & Asuka (Japan)"
mofflott  "Maze of Flott (Japan)"
galmedes  "Galmedes (Japan)"
earthjkr  "U.N. Defense Force: Earth Joker (Japan)"
eto       "Kokontouzai Eto Monogatari (Japan)"
cadash    "Cadash (World)"
cadashj   "Cadash (Japan)"
cadashu   "Cadash (US)"
cadashi   "Cadash (Italy)"
cadashf   "Cadash (France)"
wgp       "World Grand Prix (US)"
wgpj      "World Grand Prix (Japan)"
wgpjoy    "World Grand Prix (joystick version) (Japan)"
slapshot  "Slap Shot (Japan)"
ninjaw    "Ninja Warriors, The (World)"
ninjawj   "Ninja Warriors, The (Japan)"
darius2   "Darius II (Japan)"
darius2d  "Darius II (dual screen) (Japan)"
drius2do  "Darius II (dual screen) (Japan old version)"
warriorb  "Warrior Blade (Japan)"
superman  "Superman"
daisenpu  "Daisenpu (Japan)"
gigandes  "Gigandes"
ballbros  "Balloon Brothers"
plumppop  "Plump Pop (Japan)"
extrmatn  "Extermination (US)"
arkanoi2  "Arkanoid - Revenge of DOH (World)"
ark2us    "Arkanoid - Revenge of DOH (US)"
ark2jp    "Arkanoid - Revenge of DOH (Japan)"
drtoppel  "Dr. Toppel's Tankentai (Japan)"
kageki    "Kageki (US)"
kagekij   "Kageki (Japan)"
chukatai  "Chuka Taisen (Japan)"
tnzs      "NewZealand Story, The (Japan)"
tnzsb     "NewZealand Story, The (World, bootleg)"
tnzs2     "NewZealand Story 2, The (World)"
insectx   "Insector X (World)"
raimais   "Raimais (Japan)"
kurikint  "Kuri Kinton (World)"
kurikina  "Kuri Kinton (prototype?)"
fhawk     "Fighting Hawk (Japan)"
plotting  "Plotting (World)"
champwr   "Champion Wrestler (World)"
champwru  "Champion Wrestler (US)"
champwrj  "Champion Wrestler (Japan)"
puzznic   "Puzznic (Japan)"
horshoes  "American Horseshoes (US)"
palamed   "Palamedes (Japan)"
cachat    "Cachat (Japan)"
tubeit    "Tube-It"
cubybop   "Cuby Bop"
plgirls   "Play Girls"
plgirls2  "Play Girls 2"
syvalion  "Syvalion (Japan)"
recordbr  "Recordbreaker (World)"
dleague   "Dynamite League (Japan)"
masterw   "Master of Weapon (World)"
nastar    "Nastar (World)"
nastarw   "Nastar Warrior (US)"
rastsag2  "Rastan Saga 2 (Japan)"
rambo3    "Rambo III (set 1, Europe)"
rambo3a   "Rambo III (set 2, US)"
crimec    "Crime City (World)"
crimecu   "Crime City (US)"
crimecj   "Crime City (Japan)"
tetrist   "Tetris (Japan, B-System)"
viofight  "Violence Fight (World)"
ashura    "Ashura Blaster (Japan)"
ashurau   "Ashura Blaster (US)"
hitice    "Hit the Ice (US)"
sbm       "Sonic Blast Man (Japan)"
puzbobb   "Puzzle Bobble (Japan, B-System)"
qzshowby  "Quiz Sekai wa SHOW by shobai (Japan)"
spacedx   "Space Invaders DX (Japan)"
silentd   "Silent Dragon (World)"
silentdj  "Silent Dragon (Japan)"
selfeena  "Sel Feena"
ryujin    "Ryu Jin (Japan)"
spacegun  "Space Gun (World)"
gunbustr  "Gunbuster (Japan)"
superchs  "Super Chase - Criminal Termination (US)"
finalb    "Final Blow (World)"
finalbj   "Final Blow (Japan)"
dondokod  "Don Doko Don (Japan)"
megab     "Mega Blast (World)"
megabj    "Mega Blast (Japan)"
thundfox  "Thunder Fox (Japan)"
cameltry  "Camel Try (Japan)"
cameltru  "Camel Try (US)"
qtorimon  "Quiz Torimonochou (Japan)"
liquidk   "Liquid Kids (World)"
liquidku  "Liquid Kids (US)"
mizubaku  "Mizubaku Daibouken (Japan)"
quizhq    "Quiz HQ (Japan)"
ssi       "Super Space Invaders '91 (World)"
majest12  "Majestic Twelve - The Space Invaders Part IV (Japan)"
gunfront  "Gun & Frontier (World)"
gunfronj  "Gun Frontier (Japan)"
growl     "Growl (World)"
growlu    "Growl (US)"
runark    "Runark (Japan)"
mjnquest  "Mahjong Quest (Japan)"
mjnquesb  "Mahjong Quest (No Nudity)"
footchmp  "Football Champ (World)"
hthero    "Hat Trick Hero (Japan)"
euroch92  "Euro Champ '92 (World)"
koshien   "Ah Eikou no Koshien (Japan)"
yuyugogo  "Yuuyu no Quiz de GO!GO! (Japan)"
ninjak    "Ninja Kids (World)"
ninjakj   "Ninja Kids (Japan)"
solfigtr  "Solitary Fighter (World)"
qzquest   "Quiz Quest - Hime to Yuusha no Monogatari (Japan)"
pulirula  "PuLiRuLa (World)"
pulirulj  "PuLiRuLa (Japan)"
metalb    "Metal Black (World)"
metalbj   "Metal Black (Japan)"
qzchikyu  "Quiz Chikyu Bouei Gun (Japan)"
yesnoj    "Yes/No Sinri Tokimeki Chart"
deadconx  "Dead Connection (World)"
deadconj  "Dead Connection (Japan)"
dinorex   "Dino Rex (World)"
dinorexj  "Dino Rex (Japan)"
dinorexu  "Dino Rex (US)"
qjinsei   "Quiz Jinsei Gekijoh (Japan)"
qcrayon   "Quiz Crayon Shinchan (Japan)"
qcrayon2  "Crayon Shinchan Orato Asobo (Japan)"
driftout  "Drift Out (Japan)"
driveout  "Drive Out"
ringrage  "Ring Rage (World)"
ringragj  "Ring Rage (Japan)"
ringragu  "Ring Rage (US)"
arabianm  "Arabian Magic (World)"
arabiamj  "Arabian Magic (Japan)"
arabiamu  "Arabian Magic (US)"
ridingf   "Riding Fight (World)"
ridefgtj  "Riding Fight (Japan)"
ridefgtu  "Riding Fight (US)"
gseeker   "Grid Seeker: Project Stormhammer (World)"
gseekerj  "Grid Seeker: Project Stormhammer (Japan)"
gseekeru  "Grid Seeker: Project Stormhammer (US)"
hthero93  "Hat Trick Hero '93 (Japan)"
cupfinal  "Taito Cup Finals (World)"
trstar    "Top Ranking Stars (World new version)"
trstarj   "Top Ranking Stars (Japan new version)"
prmtmfgt  "Prime Time Fighter (US new version)"
trstaro   "Top Ranking Stars (World old version)"
trstaroj  "Top Ranking Stars (Japan old version)"
prmtmfgo  "Prime Time Fighter (US old version)"
gunlock   "Gunlock (World)"
rayforcj  "Rayforce (Japan)"
rayforce  "Rayforce (US)"
scfinals  "Super Cup Finals (World)"
lightbr   "Lightbringer (Japan)"
kaiserkn  "Kaiser Knuckle (World)"
kaiserkj  "Kaiser Knuckle (Japan)"
gblchmp   "Global Champion (US)"
dankuga   "Dan-Ku-Ga (Japan)"
bublbob2  "Bubble Bobble 2 (World)"
bubsymph  "Bubble Symphony (Japan)"
bubsympu  "Bubble Symphony (US)"
spcinvdj  "Space Invaders DX (Japan F3 version)"
pwrgoal   "Power Goal (World)"
hthero95  "Hat Trick Hero '95 (Japan)"
hthro95u  "Hat Trick Hero '95 (US)"
qtheater  "Quiz Theater - 3tsu no Monogatari (Japan)"
akkanvdr  "Akkanvader (Japan)"
quizhuhu  "Moriguchi Hiroko no Quiz de Hyuuhyuu (Japan)"
pbobble2  "Puzzle Bobble 2 (World)"
pbobbl2j  "Puzzle Bobble 2 (Japan)"
pbobbl2u  "Bust-A-Move Again (US)"
pbobbl2x  "Puzzle Bobble 2X (Japan)"
ktiger2   "Kyukyoku Tiger 2 (Japan)"
bubblem   "Bubble Memories - The Story Of Bubble Bobble 3 (World)"
bubblemj  "Bubble Memories - The Story Of Bubble Bobble 3 (Japan)"
cleopatr  "Cleopatra Fortune (Japan)"
pbobble3  "Puzzle Bobble 3 (World)"
pbobbl3u  "Puzzle Bobble 3 (US)"
pbobbl3j  "Puzzle Bobble 3 (Japan)"
arkretrn  "Arkanoid Returns (Japan)"
kirameki  "Kirameki Star Road (Japan)"
puchicar  "Puchi Carat (Japan)"
popnpop   "Pop 'N Pop (Japan)"
perfrman  "Performan"
tigerh    "Tiger Heli (set 1)"
tigerh2   "Tiger Heli (set 2)"
tigerhj   "Tiger Heli (Japan)"
tigerhb1  "Tiger Heli (bootleg 1)"
tigerhb2  "Tiger Heli (bootleg 2)"
slapfigh  "Slap Fight"
slapbtjp  "Slap Fight (Japan bootleg)"
slapbtuk  "Slap Fight (English bootleg)"
alcon     "Alcon"
getstar   "Guardian"
getstarj  "Get Star (Japan)"
getstarb  "Get Star (bootleg)"
fshark    "Flying Shark (World)"
skyshark  "Sky Shark (US)"
hishouza  "Hishou Zame (Japan)"
fsharkbt  "Flying Shark (bootleg)"
wardner   "Wardner (World)"
pyros     "Pyros (US)"
wardnerj  "Wardna no Mori (Japan)"
twincobr  "Twin Cobra (World)"
twincobu  "Twin Cobra (US)"
ktiger    "Kyukyoku Tiger (Japan)"
rallybik  "Rally Bike / Dash Yarou"
truxton   "Truxton / Tatsujin"
hellfire  "Hellfire"
zerowing  "Zero Wing"
demonwld  "Demon's World / Horror Story"
fireshrk  "Fire Shark"
samesame  "Same! Same! Same!"
outzone   "Out Zone (set 1)"
outzonea  "Out Zone (set 2)"
vimana    "Vimana (set 1)"
vimana2   "Vimana (set 2)"
vimanan   "Vimana (Nova Apparate GMBH & Co)"
snowbros  "Snow Bros. - Nick & Tom (set 1)"
snowbroa  "Snow Bros. - Nick & Tom (set 2)"
snowbrob  "Snow Bros. - Nick & Tom (set 3)"
snowbroj  "Snow Bros. - Nick & Tom (Japan)"
wintbob   "Winter Bobble, The"
tekipaki  "Teki Paki"
ghox      "Ghox"
dogyuun   "Dogyuun"
kbash     "Knuckle Bash"
truxton2  "Truxton II / Tatsujin II / Tatsujin Oh (Japan)"
pipibibs  "Pipi & Bibis / Whoopee (Japan)"
pipibibi  "Pipi & Bibis / Whoopee (Japan) [bootleg ?]"
whoopee   "Whoopee (Japan) / Pipi & Bibis (World)"
vfive     "V-Five (Japan)"
grindstm  "Grind Stormer"
batsugun  "Batsugun"
batugnsp  "Batsugun Special Ver."
snowbro2  "Snow Bros. 2 - With New Elves"
mahoudai  "Mahou Daisakusen (Japan)"
shippumd  "Shippu Mahou Daisakusen (Japan)"
battleg   "Battle Garegga"
batrider  "Armed Police Batrider (Japan, version B)"
batridra  "Armed Police Batrider (Japan, version A)"
donpachi  "DonPachi (Japan)"
hotdogst  "Hotdog Storm"
ddonpach  "DoDonPachi (Japan)"
dfeveron  "Dangun Feveron (Japan)"
esprade   "ESP Ra.De. (Japan)"
uopoko    "Uo Poko (Japan)"
guwange   "Guwange (Japan)"
gyrodine  "Gyrodine"
sonofphx  "Son of Phoenix"
repulse   "Repulse"
99lstwar  "'99 The Last War"
99lstwra  "'99 The Last War (alternate)"
flashgal  "Flash Gal"
srdmissn  "S.R.D. Mission"
airwolf   "Air Wolf"
skywolf   "Sky Wolf (set 1)"
skywolf2  "Sky Wolf (set 2)"
defender  "Defender (Red label)"
defendg   "Defender (Green label)"
defendw   "Defender (White label)"
defcmnd   "Defense Command (set 1)"
defence   "Defence Command"
mayday    "Mayday (set 1)"
maydaya   "Mayday (set 2)"
colony7   "Colony 7 (set 1)"
colony7a  "Colony 7 (set 2)"
stargate  "Stargate"
robotron  "Robotron (Solid Blue label)"
robotryo  "Robotron (Yellow/Orange label)"
joust     "Joust (White/Green label)"
joustr    "Joust (Solid Red label)"
joustwr   "Joust (White/Red label)"
bubbles   "Bubbles"
bubblesr  "Bubbles (Solid Red label)"
splat     "Splat!"
sinistar  "Sinistar (revision 3)"
sinista1  "Sinistar (prototype version)"
sinista2  "Sinistar (revision 2)"
blaster   "Blaster"
mysticm   "Mystic Marathon"
tshoot    "Turkey Shoot"
inferno   "Inferno"
joust2    "Joust 2 - Survival of the Fittest (set 1)"
lottofun  "Lotto Fun"
vulgus    "Vulgus (set 1)"
vulgus2   "Vulgus (set 2)"
vulgusj   "Vulgus (Japan?)"
sonson    "Son Son"
sonsonj   "Son Son (Japan)"
higemaru  "Pirate Ship HigeMaru"
1942      "1942 (set 1)"
1942a     "1942 (set 2)"
1942b     "1942 (set 3)"
exedexes  "Exed Exes"
savgbees  "Savage Bees"
commando  "Commando (World)"
commandu  "Commando (US)"
commandj  "Senjo no Ookami"
spaceinv  "Space Invasion"
gng       "Ghosts'n Goblins (World? set 1)"
gnga      "Ghosts'n Goblins (World? set 2)"
gngt      "Ghosts'n Goblins (US)"
makaimur  "Makai-Mura"
makaimuc  "Makai-Mura (Revision C)"
makaimug  "Makai-Mura (Revision G)"
diamond   "Diamond Run"
gunsmoke  "Gun.Smoke (World)"
gunsmrom  "Gun.Smoke (US set 1)"
gunsmoka  "Gun.Smoke (US set 2)"
gunsmokj  "Gun.Smoke (Japan)"
sectionz  "Section Z (set 1)"
sctionza  "Section Z (set 2)"
trojan    "Trojan (US)"
trojanr   "Trojan (Romstar)"
trojanj   "Tatakai no Banka (Japan)"
srumbler  "Speed Rumbler, The (set 1)"
srumblr2  "Speed Rumbler, The (set 2)"
rushcrsh  "Rush & Crash (Japan)"
lwings    "Legendary Wings (US set 1)"
lwings2   "Legendary Wings (US set 2)"
lwingsjp  "Ales no Tsubasa (Japan)"
sidearms  "Side Arms - Hyper Dyne (World)"
sidearmr  "Side Arms - Hyper Dyne (US)"
sidearjp  "Side Arms - Hyper Dyne (Japan)"
turtship  "Turtle Ship"
dyger     "Dyger (set 1)"
dygera    "Dyger (set 2)"
avengers  "Avengers (US set 1)"
avenger2  "Avengers (US set 2)"
buraiken  "Hissatsu Buraiken (Japan)"
bionicc   "Bionic Commando (US set 1)"
bionicc2  "Bionic Commando (US set 2)"
topsecrt  "Top Secret (Japan)"
1943      "1943 - The Battle of Midway (US)"
1943j     "1943 - The Battle of Midway (Japan)"
blktiger  "Black Tiger"
bktigerb  "Black Tiger (bootleg)"
blkdrgon  "Black Dragon"
blkdrgnb  "Black Dragon (bootleg)"
sf1       "Street Fighter (World)"
sf1us     "Street Fighter (US)"
sf1jp     "Street Fighter (Japan)"
tigeroad  "Tiger Road (US)"
toramich  "Tora eno Michi (Japan)"
f1dream   "F-1 Dream"
f1dreamb  "F-1 Dream (bootleg)"
1943kai   "1943 Kai"
lastduel  "Last Duel (US set 1)"
lstduela  "Last Duel (US set 2)"
lstduelb  "Last Duel (bootleg)"
madgear   "Mad Gear (US)"
madgearj  "Mad Gear (Japan)"
ledstorm  "Led Storm (US)"
forgottn  "Forgotten Worlds (US)"
lostwrld  "Lost Worlds (Japan)"
ghouls    "Ghouls'n Ghosts (World)"
ghoulsu   "Ghouls'n Ghosts (US)"
ghoulsj   "Dai Makai-Mura (Japan)"
strider   "Strider (US)"
striderj  "Strider Hiryu (Japan set 1)"
stridrja  "Strider Hiryu (Japan set 2)"
dwj       "Tenchi wo Kurau (Japan)"
willow    "Willow (Japan, English)"
willowj   "Willow (Japan, Japanese)"
unsquad   "U.N. Squadron (US)"
area88    "Area 88 (Japan)"
ffight    "Final Fight (World)"
ffightu   "Final Fight (US)"
ffightj   "Final Fight (Japan)"
1941      "1941 - Counter Attack (World)"
1941j     "1941 - Counter Attack (Japan)"
mercs     "Mercs (World)"
mercsu    "Mercs (US)"
mercsj    "Senjo no Ookami II (Japan)"
mtwins    "Mega Twins (World)"
chikij    "Chiki Chiki Boys (Japan)"
msword    "Magic Sword - Heroic Fantasy (World)"
mswordu   "Magic Sword - Heroic Fantasy (US)"
mswordj   "Magic Sword (Japan)"
cawing    "Carrier Air Wing (World)"
cawingj   "U.S. Navy (Japan)"
nemo      "Nemo (World)"
nemoj     "Nemo (Japan)"
sf2       "Street Fighter II - The World Warrior (World 910214)"
sf2a      "Street Fighter II - The World Warrior (US 910206)"
sf2b      "Street Fighter II - The World Warrior (US 910214)"
sf2e      "Street Fighter II - The World Warrior (US 910228)"
sf2i      "Street Fighter II - The World Warrior (US 910522)"
sf2j      "Street Fighter II - The World Warrior (Japan 911210)"
sf2jb     "Street Fighter II - The World Warrior (Japan 910214)"
3wonders  "Three Wonders (World)"
3wonderu  "Three Wonders (US)"
wonder3   "Wonder 3 (Japan)"
kod       "King of Dragons, The (World)"
kodu      "King of Dragons, The (US)"
kodj      "King of Dragons, The (Japan)"
kodb      "King of Dragons, The (bootleg)"
captcomm  "Captain Commando (World)"
captcomu  "Captain Commando (US)"
captcomj  "Captain Commando (Japan)"
knights   "Knights of the Round (World)"
knightsu  "Knights of the Round (US)"
knightsj  "Knights of the Round (Japan)"
sf2ce     "Street Fighter II' - Champion Edition (World)"
sf2cea    "Street Fighter II' - Champion Edition (US rev A)"
sf2ceb    "Street Fighter II' - Champion Edition (US rev B)"
sf2cej    "Street Fighter II' - Champion Edition (Japan)"
sf2rb     "Street Fighter II' - Champion Edition (Rainbow)"
sf2red    "Street Fighter II' - Champion Edition (Red Wave)"
sf2accp2  "Street Fighter II' - Champion Edition (Accelerator Pt.II)"
varth     "Varth - Operation Thunderstorm (World)"
varthu    "Varth - Operation Thunderstorm (US)"
varthj    "Varth - Operation Thunderstorm (Japan)"
cworld2j  "Capcom World 2 (Japan)"
wof       "Warriors of Fate (World)"
wofa      "Sangokushi II (Asia)"
wofu      "Warriors of Fate (US)"
wofj      "Tenchi wo Kurau II - Sekiheki no Tatakai (Japan)"
sf2t      "Street Fighter II' - Hyper Fighting (US)"
sf2tj     "Street Fighter II' Turbo - Hyper Fighting (Japan)"
dino      "Cadillacs and Dinosaurs (World)"
dinoj     "Cadillacs Kyouryuu-Shinseiki (Japan)"
punisher  "Punisher, The (World)"
punishru  "Punisher, The (US)"
punishrj  "Punisher, The (Japan)"
slammast  "Saturday Night Slam Masters (World)"
slammasu  "Saturday Night Slam Masters (US)"
mbomberj  "Muscle Bomber - The Body Explosion (Japan)"
mbombrd   "Muscle Bomber Duo - Ultimate Team Battle (World)"
mbombrdj  "Muscle Bomber Duo - Heat Up Warriors (Japan)"
pnickj    "Pnickies (Japan)"
qad       "Quiz & Dragons (US)"
qadj      "Quiz & Dragons (Japan)"
qtono2    "Quiz Tonosama no Yabou 2 Zenkoku-ban (Japan)"
pang3     "Pang! 3 (Euro)"
pang3j    "Pang! 3 (Japan)"
megaman   "Mega Man - The Power Battle (Asia)"
rockmanj  "Rockman - The Power Battle (Japan)"
ssf2      "Super Street Fighter 2: The New Challengers (US 930911)"
ssf2a     "Super Street Fighter 2: The New Challengers (Asia 930911)"
ssf2j     "Super Street Fighter 2: The New Challengers (Japan 931005)"
ssf2jr1   "Super Street Fighter 2: The New Challengers (Japan 930911)"
ssf2jr2   "Super Street Fighter 2: The New Challengers (Japan 930910)"
ddtod     "Dungeons & Dragons: Tower of Doom (US 940125)"
ddtodr1   "Dungeons & Dragons: Tower of Doom (US 940113)"
ddtodj    "Dungeons & Dragons: Tower of Doom (Japan 940113)"
ddtoda    "Dungeons & Dragons: Tower of Doom (Asia 940113)"
ssf2t     "Super Street Fighter 2 Turbo (World 940223)"
ssf2tu    "Super Street Fighter 2 Turbo (US 940223)"
ssf2ta    "Super Street Fighter 2 Turbo (Asia 940223)"
ssf2xj    "Super Street Fighter 2 X: Grand Master Challenge (Japan 940223)"
avsp      "Alien vs. Predator (US 940520)"
avspj     "Alien vs. Predator (Japan 940520)"
avspa     "Alien vs. Predator (Asia 940520)"
dstlk     "DarkStalkers: The Night Warriors (US 940818)"
vampj     "Vampire: The Night Warriors (Japan 940705)"
vampja    "Vampire: The Night Warriors (Japan 940705 alt)"
vampa     "Vampire: The Night Warriors (Asia 940705)"
slam2e    "Ring of Destruction: Slammasters II (Euro 940902)"
smbomber  "Super Muscle Bomber: The International Blowout (Japan 940808)"
xmcota    "X-Men: Children of the Atom (US 950105)"
xmcotaj   "X-Men: Children of the Atom (Japan 941219)"
xmcotaj1  "X-Men: Children of the Atom (Japan 941217)"
cybotsj   "Cyberbots: Fullmetal Madness (Japan 950420)"
sfa       "Street Fighter Alpha: Warriors' Dreams (US 950627)"
sfzj      "Street Fighter Zero (Japan 950727)"
sfzjr1    "Street Fighter Zero (Japan 950627)"
sfzjr2    "Street Fighter Zero (Japan 950605)"
sfaer1    "Street Fighter Alpha: Warriors' Dreams (Euro 950727)"
sfzh      "Street Fighter Zero (Hispanic 950627)"
msh       "Marvel Super Heroes (US 951024)"
mshj      "Marvel Super Heroes (Japan 951024)"
